,Longitude,Latitude,Speed,Distance,Distance_x,Distance_y,PCI,PCI_3,PCI_4,PCI_6,PCI_7,PCI_20,PCI_40,PCI_184,PCI_237
195,-78.9394265,35.9999511,-300.0,523.8254662282335,0.0029679,0.0038715,7,0,0,0,1,0,0,0,0
196,-78.9394585,35.9999241,-300.0,527.5944257247346,0.0029949,0.0039035,7,0,0,0,1,0,0,0,0
197,-78.9394585,35.9999241,-300.0,316.1632206255896,0.0020849,-0.0005415,40,0,0,0,0,0,1,0,0
198,-78.9394585,35.9999241,-300.0,894.9533890871323,0.0050139,0.0074185,6,0,0,1,0,0,0,0,0
199,-78.9394585,35.9999241,-300.0,305.3938968151645,7.59e-05,0.0024585,20,0,0,0,0,1,0,0,0
200,-78.9394967,35.9999052,-300.0,531.2158832943347,0.0030138,0.0039417,7,0,0,0,1,0,0,0,0
201,-78.9394967,35.9999052,-300.0,317.1898812362923,0.0021038,-0.0005033,40,0,0,0,0,0,1,0,0
202,-78.9394967,35.9999052,-300.0,898.8318261280402,0.0050328,0.0074567,6,0,0,1,0,0,0,0,0
203,-78.9394967,35.9999052,-300.0,307.96750967881275,9.48e-05,0.0024967,20,0,0,0,0,1,0,0,0
204,-78.9395166,35.9998544,-300.0,535.819805597542,0.0030646,0.0039616,7,0,0,0,1,0,0,0,0
205,-78.9395431,35.9998224,-300.0,539.669220084016,0.0030966,0.0039881,7,0,0,0,1,0,0,0,0
206,-78.9395768,35.9997937,-300.0,543.8782406317573,0.0031253,0.0040218,7,0,0,0,1,0,0,0,0
207,-78.9396058,35.9997514,-300.0,548.4671775619851,0.0031676,0.0040508,7,0,0,0,1,0,0,0,0
208,-78.9396058,35.9997514,-300.0,328.4878727105726,0.0022576,-0.0003942,40,0,0,0,0,0,1,0,0
209,-78.9396058,35.9997514,-300.0,916.7366063630749,0.0051866,0.0075658,6,0,0,1,0,0,0,0,0
210,-78.9396058,35.9997514,-300.0,315.9938893950636,0.0002486,0.0026058,20,0,0,0,0,1,0,0,0
211,-78.9396275,35.9997209,-300.0,552.0936905985653,0.0031981,0.0040725,7,0,0,0,1,0,0,0,0
212,-78.9396275,35.9997209,-300.0,331.12499522139177,0.0022881,-0.0003725,40,0,0,0,0,0,1,0,0
213,-78.9396275,35.9997209,-300.0,920.409531806529,0.0052171,0.0075875,6,0,0,1,0,0,0,0,0
214,-78.9396275,35.9997209,-300.0,318.0271806350208,0.0002791,0.0026275,20,0,0,0,0,1,0,0,0
215,-78.9396568,35.999688,-300.0,555.4485451338788,0.003231,0.0041018,7,0,0,0,1,0,0,0,0
216,-78.9396568,35.999688,-300.0,332.4224123466017,0.002321,-0.0003432,40,0,0,0,0,0,1,0,0
