,SINR,RSRP,RSRQ,Power
1110,-13.0,-124,-20,-124
1111,18.0,-113,-7,-113
1112,-18.0,-131,-20,-131
1113,18.0,-113,-7,-113
1114,-18.0,-131,-20,-131
1115,18.0,-113,-7,-113
1116,-18.0,-131,-20,-131
1117,19.0,-112,-7,-112
1118,-19.0,-131,-20,-131
1119,19.0,-112,-7,-112
1120,-19.0,-131,-20,-131
1121,12.0,-113,-7,-113
1122,-12.0,-125,-19,-125
1123,12.0,-113,-7,-113
1124,-12.0,-125,-19,-125
1125,12.0,-113,-7,-113
1126,-12.0,-125,-19,-125
1127,17.0,-114,-7,-114
1128,-17.0,-131,-20,-131
1129,17.0,-114,-7,-114
1130,-17.0,-131,-20,-131
1131,2.0,-115,-8,-115
1132,-2.0,-117,-9,-117
1133,2.0,-115,-8,-115
1134,-2.0,-117,-9,-117
1135,2.0,-115,-8,-115
1136,-2.0,-117,-9,-117
1137,-6.1077423,-120,-9,-120
1138,-16.9732279,-130,-17,-130
1139,5.5860731,-114,-7,-114
1140,-6.1077423,-120,-9,-120
1141,-16.9732279,-130,-17,-130
1142,5.5860731,-114,-7,-114
1143,6.875574,-124,-10,-124
1144,-9.3319562,-133,-20,-133
1145,-11.5149694,-135,-20,-135
1146,6.875574,-124,-10,-124
1147,-9.3319562,-133,-20,-133
1148,-11.5149694,-135,-20,-135
1149,6.875574,-124,-10,-124
1150,-9.3319562,-133,-20,-133
1151,-11.5149694,-135,-20,-135
1152,3.0,-127,-14,-127
1153,-3.0,-130,-16,-130
1154,3.0,-127,-14,-127
1155,-3.0,-130,-16,-130
1156,3.0,-127,-14,-127
1157,-3.0,-130,-16,-130
1158,300.0,-135,-20,-135
1159,300.0,-135,-20,-135
1160,300.0,-135,-20,-135
1161,300.0,-130,-17,-130
1162,300.0,-130,-17,-130
1163,300.0,-134,-20,-134
1164,300.0,-134,-20,-134
1165,300.0,-134,-20,-134
1166,300.0,-139,-20,-139
1167,300.0,-139,-20,-139
1168,300.0,-139,-20,-139
1169,300.0,-139,-20,-139
1170,300.0,-140,-20,-140
1171,300.0,-140,-20,-140
1172,300.0,-140,-20,-140
1173,300.0,-140,-20,-140
1174,300.0,-140,-20,-140
