,Longitude,Latitude,Speed,Distance,Distance_x,Distance_y,PCI,PCI_3,PCI_4,PCI_6,PCI_7,PCI_20,PCI_40,PCI_184,PCI_237
1121,-78.9386258,36.0028392,-300.0,259.3472803075,-0.0008302,-0.0013742,40,0,0,0,0,0,1,0,0
1122,-78.9386258,36.0028392,-300.0,405.1648145917,-0.0028392,0.0016258,20,0,0,0,0,1,0,0,0
1123,-78.9387015,36.0028577,-300.0,256.8852589294,-0.0008487,-0.0012985,40,0,0,0,0,0,1,0,0
1124,-78.9387015,36.0028577,-300.0,409.2614943246,-0.0028577,0.0017015,20,0,0,0,0,1,0,0,0
1125,-78.9387525,36.0028661,-300.0,255.1867318682,-0.0008571,-0.0012475,40,0,0,0,0,0,1,0,0
1126,-78.9387525,36.0028661,-300.0,411.7380849026,-0.0028661,0.0017525,20,0,0,0,0,1,0,0,0
1127,-78.9387974,36.0028875,-300.0,254.5623298623,-0.0008785,-0.0012026,40,0,0,0,0,0,1,0,0
1128,-78.9387974,36.0028875,-300.0,415.2813299381,-0.0028875,0.0017974,20,0,0,0,0,1,0,0,0
1129,-78.9388227,36.0029044,-300.0,256.0755062998,-0.0008954,-0.0011773,40,0,0,0,0,0,1,0,0
1130,-78.9388227,36.0029044,-300.0,418.689973969,-0.0029044,0.0018227,20,0,0,0,0,1,0,0,0
1131,-78.9388612,36.0029104,-300.0,254.9167234344,-0.0009014,-0.0011388,40,0,0,0,0,0,1,0,0
1132,-78.9388612,36.0029104,-300.0,420.5755633466,-0.0029104,0.0018612,20,0,0,0,0,1,0,0,0
1133,-78.9389026,36.0029264,-300.0,254.1421838269,-0.0009174,-0.0010974,40,0,0,0,0,0,1,0,0
1134,-78.9389026,36.0029264,-300.0,423.4386547577,-0.0029264,0.0019026,20,0,0,0,0,1,0,0,0
1135,-78.9389486,36.0029604,-300.0,254.1004268263,-0.0009514,-0.0010514,40,0,0,0,0,0,1,0,0
1136,-78.9389486,36.0029604,-300.0,428.0241263754,-0.0029604,0.0019486,20,0,0,0,0,1,0,0,0
1137,-78.9389945,36.0029847,-300.0,253.7244610452,-0.0009757,-0.0010055,40,0,0,0,0,0,1,0,0
1138,-78.9389945,36.0029847,-300.0,696.1000955713,0.0019533,0.0069545,6,0,0,1,0,0,0,0,0
1139,-78.9389945,36.0029847,-300.0,431.8038696352,-0.0029847,0.0019945,20,0,0,0,0,1,0,0,0
1140,-78.9390429,36.0030043,-300.0,253.1394058414,-0.0009953,-0.0009571,40,0,0,0,0,0,1,0,0
1141,-78.9390429,36.0030043,-300.0,699.3629176312,0.0019337,0.0070029,6,0,0,1,0,0,0,0,0
1142,-78.9390429,36.0030043,-300.0,435.3025668338,-0.0030043,0.0020429,20,0,0,0,0,1,0,0,0
1143,-78.9390889,36.0030241,-300.0,252.727249448,-0.0010151,-0.0009111,40,0,0,0,0,0,1,0,0
1144,-78.9390889,36.0030241,-300.0,702.4419359683,0.0019139,0.0070489,6,0,0,1,0,0,0,0,0
1145,-78.9390889,36.0030241,-300.0,438.7515800568,-0.0030241,0.0020889,20,0,0,0,0,1,0,0,0
1146,-78.939153,36.0030364,-300.0,251.5239202738,-0.0010274,-0.000847,40,0,0,0,0,0,1,0,0
1147,-78.939153,36.0030364,-300.0,707.2664508978,0.0019016,0.007113,6,0,0,1,0,0,0,0,0
1148,-78.939153,36.0030364,-300.0,442.302040606,-0.0030364,0.002153,20,0,0,0,0,1,0,0,0
1149,-78.9392204,36.0030646,-300.0,251.1897438163,-0.0010556,-0.0007796,40,0,0,0,0,0,1,0,0
1150,-78.9392204,36.0030646,-300.0,711.860926947,0.0018734,0.0071804,6,0,0,1,0,0,0,0,0
1151,-78.9392204,36.0030646,-300.0,447.3762819748,-0.0030646,0.0022204,20,0,0,0,0,1,0,0,0
1152,-78.9392446,36.0030886,-300.0,251.8436828379,-0.0010796,-0.0007554,40,0,0,0,0,0,1,0,0
1153,-78.9392446,36.0030886,-300.0,450.3799401533,-0.0030886,0.0022446,20,0,0,0,0,1,0,0,0
1154,-78.9392658,36.0030982,-300.0,253.7197417666,-0.0010892,-0.0007342,40,0,0,0,0,0,1,0,0
1155,-78.9392658,36.0030982,-300.0,453.0998586269,-0.0030982,0.0022658,20,0,0,0,0,1,0,0,0
1156,-78.9392858,36.0031024,-300.0,253.4363364787,-0.0010934,-0.0007142,40,0,0,0,0,0,1,0,0
