,Longitude,Latitude,Speed,Distance,Distance_x,Distance_y,PCI,PCI_64,PCI_65,PCI_302
26534,12.528190792195502,55.79233216352707,0.0,0.9077028522,0.0076692,0.0048878,64.0,1,0,0
26535,12.528186587711442,55.79228570820977,0.0,0.9027495831,0.0076227,0.0048836,64.0,1,0,0
26536,12.528182383239708,55.79223925289191,0.0,0.8977988611,0.0075763,0.0048794,64.0,1,0,0
26537,12.5281781787803,55.792192797573485,0.0,0.8928507287,0.0075298,0.0048752,64.0,1,0,0
26538,12.528173974333217,55.792146342254505,0.0,0.887905229,0.0074833,0.004871,64.0,1,0,0
26539,12.52816976989846,55.792099886934956,0.0,0.8829624065,0.0074369,0.0048668,64.0,1,0,0
26540,12.528165565476026,55.79205343161484,0.0,0.8780223062,0.0073904,0.0048626,64.0,1,0,0
26541,12.528161361065921,55.792006976294154,0.0,0.8730849744,0.007344,0.0048584,64.0,1,0,0
26542,12.52815715666814,55.79196052097292,0.0,0.8681504582,0.0072975,0.0048542,64.0,1,0,0
26543,12.528152952282683,55.79191406565111,0.0,0.8632188061,0.0072511,0.00485,64.0,1,0,0
26544,12.528148747909551,55.791867610328744,0.0,0.8582900674,0.0072046,0.0048457,64.0,1,0,0
26545,12.528144543548747,55.79182115500581,0.0,0.8533642925,0.0071582,0.0048415,64.0,1,0,0
26546,12.528140339200265,55.79177469968232,0.0,0.8484415331,0.0071117,0.0048373,64.0,1,0,0
26547,12.528136134864107,55.79172824435827,0.0,0.843521842,0.0070652,0.0048331,64.0,1,0,0
26548,12.52813193054028,55.79168178903364,0.0,0.8386052731,0.0070188,0.0048289,64.0,1,0,0
26549,12.52812772622877,55.79163533370845,0.0,0.8336918817,0.0069723,0.0048247,64.0,1,0,0
26550,12.52812352192959,55.79158887838271,0.0,0.8287817244,0.0069259,0.0048205,64.0,1,0,0
26551,12.528119317642732,55.7915424230564,0.0,0.8238748589,0.0068794,0.0048163,64.0,1,0,0
26552,12.5281151133682,55.791495967729524,0.0,0.8189713444,0.006833,0.0048121,64.0,1,0,0
26553,12.528110909105994,55.791449512402096,0.0,0.8140712414,0.0067865,0.0048079,64.0,1,0,0
26554,12.52810670485611,55.79140305707409,0.0,0.809174612,0.0067401,0.0048037,64.0,1,0,0
26555,12.528102500618553,55.79135660174553,0.0,0.8042815196,0.0066936,0.0047995,64.0,1,0,0
26556,12.528098296393319,55.79131014641639,0.0,0.7993920292,0.0066471,0.0047953,64.0,1,0,0
26557,12.52809409218041,55.791263691086705,0.0,0.7945062071,0.0066007,0.0047911,64.0,1,0,0
26558,12.528089887979826,55.791217235756456,0.0,0.7896241216,0.0065542,0.0047869,64.0,1,0,0
26559,12.528085683791565,55.791170780425624,0.0,0.7847458424,0.0065078,0.0047827,64.0,1,0,0
26560,12.52808147961563,55.79112432509425,0.0,0.7798714409,0.0064613,0.0047785,64.0,1,0,0
26561,12.528077275452016,55.791077869762304,0.0,0.7750009902,0.0064149,0.0047743,64.0,1,0,0
26562,12.528073071300732,55.791031414429796,0.0,0.7701345654,0.0063684,0.0047701,64.0,1,0,0
26563,12.528068867161767,55.79098495909673,0.0,0.7652722431,0.006322,0.0047659,64.0,1,0,0
26564,12.528064663035128,55.790938503763094,0.0,0.7604141022,0.0062755,0.0047617,64.0,1,0,0
26565,12.528060458920812,55.790892048428894,0.0,0.7555602233,0.006229,0.0047575,64.0,1,0,0
26566,12.528056254818821,55.79084559309413,0.0,0.7507106891,0.0061826,0.0047533,64.0,1,0,0
26567,12.528052050729155,55.7907991377588,0.0,0.7458655842,0.0061361,0.0047491,64.0,1,0,0
26568,12.52804784665181,55.79075268242291,0.0,0.7410249956,0.0060897,0.0047448,64.0,1,0,0
26569,12.528043642586793,55.790706227086474,0.0,0.7361890123,0.0060432,0.0047406,64.0,1,0,0
26570,12.528039438534098,55.79065977174946,0.0,0.7313577258,0.0059968,0.0047364,64.0,1,0,0
26571,12.528035234493725,55.79061331641187,0.0,0.7265312297,0.0059503,0.0047322,64.0,1,0,0
26572,12.528031030465678,55.790566861073735,0.0,0.7217096201,0.0059039,0.004728,64.0,1,0,0
26573,12.528026826449954,55.79052040573503,0.0,0.7168929957,0.0058574,0.0047238,64.0,1,0,0
26574,12.528022622446553,55.79047395039576,0.0,0.7120814575,0.005811,0.0047196,64.0,1,0,0
26575,12.528018418455478,55.79042749505593,0.0,0.7072751094,0.0057645,0.0047154,64.0,1,0,0
26576,12.528014214476723,55.790381039715534,0.0,0.702474058,0.005718,0.0047112,64.0,1,0,0
26577,12.528010010510293,55.79033458437457,0.0,0.6976784125,0.0056716,0.004707,64.0,1,0,0
26578,12.528005806556187,55.79028812903306,0.0,0.6928882852,0.0056251,0.0047028,64.0,1,0,0
26579,12.528001602614404,55.79024167369098,0.0,0.6881037914,0.0055787,0.0046986,64.0,1,0,0
26580,12.527997398684944,55.79019521834833,0.0,0.6833250493,0.0055322,0.0046944,64.0,1,0,0
26581,12.527993194767808,55.790148763005114,0.0,0.6785521806,0.0054858,0.0046902,64.0,1,0,0
26582,12.527988990862996,55.79010230766134,0.0,0.67378531,0.0054393,0.004686,64.0,1,0,0
26583,12.527984786970505,55.79005585231701,0.0,0.6690245657,0.0053929,0.0046818,64.0,1,0,0
26584,12.527980583090338,55.790009396972096,0.0,0.6642700795,0.0053464,0.0046776,64.0,1,0,0
26585,12.527976379222496,55.789962941626634,0.0,0.6595219867,0.0052999,0.0046734,64.0,1,0,0
26586,12.527972175366974,55.78991648628061,0.0,0.6547804264,0.0052535,0.0046692,64.0,1,0,0
26587,12.527967971523777,55.78987003093401,0.0,0.6500455415,0.005207,0.004665,64.0,1,0,0
26588,12.527963767692903,55.789823575586865,0.0,0.645317479,0.0051606,0.0046608,64.0,1,0,0
26589,12.52795956387435,55.789777120239144,0.0,0.6405963899,0.0051141,0.0046566,64.0,1,0,0
26590,12.527955360068121,55.78973066489086,0.0,0.6358824295,0.0050677,0.0046524,64.0,1,0,0
26591,12.527951156274215,55.789684209542024,0.0,0.6311757576,0.0050212,0.0046482,64.0,1,0,0
26592,12.527946952492632,55.78963775419262,0.0,0.6264765385,0.0049748,0.004644,64.0,1,0,0
26593,12.52794274872337,55.78959129884263,0.0,0.6217849411,0.0049283,0.0046397,64.0,1,0,0
26594,12.527938544966434,55.789544843492116,0.0,0.6171011393,0.0048818,0.0046355,64.0,1,0,0
26595,12.527934341221819,55.78949838814101,0.0,0.6124253119,0.0048354,0.0046313,64.0,1,0,0
26596,12.527930137489525,55.78945193278935,0.0,0.6077576429,0.0047889,0.0046271,64.0,1,0,0
26597,12.527925933769556,55.789405477437114,0.0,0.6030983219,0.0047425,0.0046229,64.0,1,0,0
26598,12.527921730061909,55.789359022084334,0.0,0.5984475438,0.004696,0.0046187,64.0,1,0,0
26599,12.527917526366583,55.789312566730985,0.0,0.5938055092,0.0046496,0.0046145,64.0,1,0,0
26600,12.52791332268358,55.78926611137707,0.0,0.589172425,0.0046031,0.0046103,64.0,1,0,0
26601,12.527909119012898,55.789219656022595,0.0,0.5845485039,0.0045567,0.0046061,64.0,1,0,0
26602,12.527904915354542,55.78917320066755,0.0,0.579933965,0.0045102,0.0046019,64.0,1,0,0
26603,12.527900711708504,55.78912674531194,0.0,0.5753290342,0.0044637,0.0045977,64.0,1,0,0
26604,12.527896508074791,55.78908028995578,0.0,0.570733944,0.0044173,0.0045935,64.0,1,0,0
26605,12.527892304453397,55.789033834599046,0.0,0.566148934,0.0043708,0.0045893,64.0,1,0,0
26606,12.52788810084433,55.78898737924175,0.0,0.5615742511,0.0043244,0.0045851,64.0,1,0,0
26607,12.52788389724758,55.78894092388389,0.0,0.5570101497,0.0042779,0.0045809,64.0,1,0,0
26608,12.527879693663156,55.78889446852548,0.0,0.5524568922,0.0042315,0.0045767,64.0,1,0,0
26609,12.527875490091052,55.78884801316647,0.0,0.5479147489,0.004185,0.0045725,64.0,1,0,0
26610,12.52787128653127,55.78880155780694,0.0,0.5433839984,0.0041386,0.0045683,64.0,1,0,0
26611,12.527867082983809,55.78875510244683,0.0,0.5388649282,0.0040921,0.0045641,64.0,1,0,0
26612,12.527862879448671,55.788708647086146,0.0,0.5343578346,0.0040456,0.0045599,64.0,1,0,0
26613,12.527858675925852,55.78866219172492,0.0,0.5298630231,0.0039992,0.0045557,64.0,1,0,0
26614,12.52785447241536,55.78861573636313,0.0,0.5253808091,0.0039527,0.0045515,64.0,1,0,0
26615,12.527850268917184,55.788569281000754,0.0,0.5209115178,0.0039063,0.0045473,64.0,1,0,0
26616,12.527846065431332,55.78852282563783,0.0,0.5164554845,0.0038598,0.0045431,64.0,1,0,0
26617,12.527841861957802,55.78847637027433,0.0,0.5120130556,0.0038134,0.0045389,64.0,1,0,0
26618,12.527837658496592,55.78842991491028,0.0,0.5075845881,0.0037669,0.0045347,64.0,1,0,0
26619,12.527833455047706,55.788383459545656,0.0,0.5031704507,0.0037205,0.0045305,64.0,1,0,0
26620,12.52782925161114,55.78833700418048,0.0,0.4987710239,0.003674,0.0045263,64.0,1,0,0
26621,12.527825048186894,55.78829054881473,0.0,0.4943867003,0.0036275,0.004522,64.0,1,0,0
26622,12.52782084477497,55.78824409344842,0.0,0.4900178855,0.0035811,0.0045178,64.0,1,0,0
26623,12.527816641375368,55.78819763808156,0.0,0.4856649979,0.0035346,0.0045136,64.0,1,0,0
26624,12.527812437988086,55.78815118271412,0.0,0.4813284695,0.0034882,0.0045094,64.0,1,0,0
26625,12.527808234613126,55.78810472734612,0.0,0.4770087467,0.0034417,0.0045052,64.0,1,0,0
26626,12.527804031250488,55.78805827197757,0.0,0.4727062901,0.0033953,0.004501,64.0,1,0,0
26627,12.52779982790017,55.788011816608446,0.0,0.4684215755,0.0033488,0.0044968,64.0,1,0,0
