,Longitude,Latitude,Speed,Distance,Distance_x,Distance_y,PCI,PCI_3,PCI_4,PCI_6,PCI_7,PCI_20,PCI_40,PCI_184,PCI_237
0,-78.941049,36.003836,0.0,0.4089560011,0.001301,-0.003618,3.0,1,0,0,0,0,0,0,0
1,-78.941049,36.003811456,0.0,0.4080026701,0.0012765,-0.003618,3.0,1,0,0,0,0,0,0,0
2,-78.941049,36.003786912,0.0,0.407065327,0.0012519,-0.003618,3.0,1,0,0,0,0,0,0,0
3,-78.941049,36.003762368,0.0,0.4061440823,0.0012274,-0.003618,3.0,1,0,0,0,0,0,0,0
4,-78.941049,36.003737824,0.0,0.405239046,0.0012028,-0.003618,3.0,1,0,0,0,0,0,0,0
5,-78.941049,36.00371328,0.0,0.4043503267,0.0011783,-0.003618,3.0,1,0,0,0,0,0,0,0
6,-78.941049,36.003688736,0.0,0.4034780325,0.0011537,-0.003618,3.0,1,0,0,0,0,0,0,0
7,-78.941049,36.003664192,0.0,0.4026222699,0.0011292,-0.003618,3.0,1,0,0,0,0,0,0,0
8,-78.941049,36.003639648,0.0,0.4017831447,0.0011046,-0.003618,3.0,1,0,0,0,0,0,0,0
9,-78.941049,36.003615104,0.0,0.4009607613,0.0010801,-0.003618,3.0,1,0,0,0,0,0,0,0
10,-78.941049,36.00359056,0.0,0.4001552229,0.0010556,-0.003618,3.0,1,0,0,0,0,0,0,0
11,-78.941049,36.003566016,0.0,0.3993666315,0.001031,-0.003618,3.0,1,0,0,0,0,0,0,0
12,-78.941049,36.003541472,0.0,0.3985950876,0.0010065,-0.003618,3.0,1,0,0,0,0,0,0,0
13,-78.941049,36.003516928,0.0,0.3978406904,0.0009819,-0.003618,3.0,1,0,0,0,0,0,0,0
14,-78.941049,36.003492384,0.0,0.3971035377,0.0009574,-0.003618,3.0,1,0,0,0,0,0,0,0
15,-78.941049,36.00346784,0.0,0.3963837256,0.0009328,-0.003618,3.0,1,0,0,0,0,0,0,0
16,-78.941049,36.003443296,0.0,0.3956813488,0.0009083,-0.003618,3.0,1,0,0,0,0,0,0,0
17,-78.941049,36.003418752,0.0,0.3949965004,0.0008838,-0.003618,3.0,1,0,0,0,0,0,0,0
18,-78.941049,36.003394208,0.0,0.3943292715,0.0008592,-0.003618,3.0,1,0,0,0,0,0,0,0
19,-78.941049,36.003369664,0.0,0.3936797518,0.0008347,-0.003618,3.0,1,0,0,0,0,0,0,0
20,-78.941049,36.00334512,0.0,0.3930480292,0.0008101,-0.003618,3.0,1,0,0,0,0,0,0,0
21,-78.941049,36.003320576,0.0,0.3924341895,0.0007856,-0.003618,3.0,1,0,0,0,0,0,0,0
22,-78.941049,36.003296032,0.0,0.3918383168,0.000761,-0.003618,3.0,1,0,0,0,0,0,0,0
23,-78.941049,36.003271488,0.0,0.3912604932,0.0007365,-0.003618,3.0,1,0,0,0,0,0,0,0
24,-78.941049,36.003246944,0.0,0.3907007988,0.0007119,-0.003618,3.0,1,0,0,0,0,0,0,0
25,-78.941049,36.0032224,0.0,0.3901593115,0.0006874,-0.003618,3.0,1,0,0,0,0,0,0,0
26,-78.941049,36.003197856,0.0,0.3896361073,0.0006629,-0.003618,3.0,1,0,0,0,0,0,0,0
27,-78.941049,36.003173312,0.0,0.38913126,0.0006383,-0.003618,3.0,1,0,0,0,0,0,0,0
28,-78.941049,36.003148768,0.0,0.3886448411,0.0006138,-0.003618,3.0,1,0,0,0,0,0,0,0
29,-78.941049,36.003124224,0.0,0.3881769198,0.0005892,-0.003618,3.0,1,0,0,0,0,0,0,0
30,-78.941049,36.00309968,0.0,0.3877275631,0.0005647,-0.003618,3.0,1,0,0,0,0,0,0,0
31,-78.941049,36.003075136,0.0,0.3872968357,0.0005401,-0.003618,3.0,1,0,0,0,0,0,0,0
32,-78.941049,36.003050592,0.0,0.3868847997,0.0005156,-0.003618,3.0,1,0,0,0,0,0,0,0
33,-78.941049,36.003026048,0.0,0.386491515,0.000491,-0.003618,3.0,1,0,0,0,0,0,0,0
34,-78.941049,36.003001504,0.0,0.3861170388,0.0004665,-0.003618,3.0,1,0,0,0,0,0,0,0
35,-78.941049,36.00297696,0.0,0.3857614259,0.000442,-0.003618,3.0,1,0,0,0,0,0,0,0
36,-78.941049,36.002952416,0.0,0.3854247286,0.0004174,-0.003618,3.0,1,0,0,0,0,0,0,0
37,-78.941049,36.002927872,0.0,0.3851069964,0.0003929,-0.003618,3.0,1,0,0,0,0,0,0,0
38,-78.941049,36.002903328,0.0,0.3848082763,0.0003683,-0.003618,3.0,1,0,0,0,0,0,0,0
39,-78.941049,36.002878784,0.0,0.3845286127,0.0003438,-0.003618,3.0,1,0,0,0,0,0,0,0
40,-78.941049,36.00285424,0.0,0.3842680471,0.0003192,-0.003618,3.0,1,0,0,0,0,0,0,0
41,-78.941049,36.002829696,0.0,0.3840266184,0.0002947,-0.003618,3.0,1,0,0,0,0,0,0,0
42,-78.941049,36.002805152,0.0,0.3838043627,0.0002702,-0.003618,3.0,1,0,0,0,0,0,0,0
43,-78.941049,36.002780608,0.0,0.3836013134,0.0002456,-0.003618,3.0,1,0,0,0,0,0,0,0
44,-78.941049,36.002756064,0.0,0.3834175009,0.0002211,-0.003618,3.0,1,0,0,0,0,0,0,0
45,-78.941049,36.00273152,0.0,0.383252953,0.0001965,-0.003618,3.0,1,0,0,0,0,0,0,0
46,-78.941049,36.002706976,0.0,0.3831076944,0.000172,-0.003618,3.0,1,0,0,0,0,0,0,0
47,-78.941049,36.002682432,0.0,0.3829817471,0.0001474,-0.003618,3.0,1,0,0,0,0,0,0,0
48,-78.941049,36.002657888,0.0,0.3828751303,0.0001229,-0.003618,3.0,1,0,0,0,0,0,0,0
49,-78.941049,36.002633344,0.0,0.3827878599,9.83e-05,-0.003618,3.0,1,0,0,0,0,0,0,0
50,-78.941049,36.0026088,0.0,0.3827199493,7.38e-05,-0.003618,3.0,1,0,0,0,0,0,0,0
51,-78.941049,36.002584256,0.0,0.3826714087,4.93e-05,-0.003618,3.0,1,0,0,0,0,0,0,0
52,-78.941049,36.002559712,0.0,0.3826422456,2.47e-05,-0.003618,3.0,1,0,0,0,0,0,0,0
53,-78.941049,36.002535168,0.0,0.3826324643,2e-07,-0.003618,3.0,1,0,0,0,0,0,0,0
54,-78.941049,36.002510624,0.0,0.3826420664,-2.44e-05,-0.003618,3.0,1,0,0,0,0,0,0,0
55,-78.941049,36.00248608,0.0,0.3826710504,-4.89e-05,-0.003618,3.0,1,0,0,0,0,0,0,0
56,-78.941049,36.002461536,0.0,0.3827194119,-7.35e-05,-0.003618,3.0,1,0,0,0,0,0,0,0
57,-78.941049,36.002436992,0.0,0.3827871435,-9.8e-05,-0.003618,3.0,1,0,0,0,0,0,0,0
58,-78.941049,36.002412448,0.0,0.3828742349,-0.0001226,-0.003618,3.0,1,0,0,0,0,0,0,0
59,-78.941049,36.002387904,0.0,0.3829806731,-0.0001471,-0.003618,3.0,1,0,0,0,0,0,0,0
60,-78.941049,36.00236336,0.0,0.3831064417,-0.0001716,-0.003618,3.0,1,0,0,0,0,0,0,0
61,-78.941049,36.002338816,0.0,0.3832515218,-0.0001962,-0.003618,3.0,1,0,0,0,0,0,0,0
62,-78.941049,36.002314272,0.0,0.3834158916,-0.0002207,-0.003618,3.0,1,0,0,0,0,0,0,0
63,-78.941049,36.002289728,0.0,0.3835995261,-0.0002453,-0.003618,3.0,1,0,0,0,0,0,0,0
64,-78.941049,36.002265184,0.0,0.3838023977,-0.0002698,-0.003618,3.0,1,0,0,0,0,0,0,0
65,-78.941049,36.002240640000004,0.0,0.3840244759,-0.0002944,-0.003618,3.0,1,0,0,0,0,0,0,0
66,-78.941049,36.002216096,0.0,0.3842657275,-0.0003189,-0.003618,3.0,1,0,0,0,0,0,0,0
67,-78.941049,36.002191552,0.0,0.3845261164,-0.0003434,-0.003618,3.0,1,0,0,0,0,0,0,0
68,-78.941049,36.002167008,0.0,0.3848056036,-0.000368,-0.003618,3.0,1,0,0,0,0,0,0,0
69,-78.941049,36.002142464,0.0,0.3851041477,-0.0003925,-0.003618,3.0,1,0,0,0,0,0,0,0
70,-78.941049,36.00211792,0.0,0.3854217043,-0.0004171,-0.003618,3.0,1,0,0,0,0,0,0,0
71,-78.941049,36.002093376,0.0,0.3857582265,-0.0004416,-0.003618,3.0,1,0,0,0,0,0,0,0
72,-78.941049,36.002068832,0.0,0.3861136646,-0.0004662,-0.003618,3.0,1,0,0,0,0,0,0,0
